11-15 12-42-41: Training starting...
11-15 12-42-42: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-15 12-42-42: New best reward -6.3 (-22.2%) at episode 2, saving model...
11-15 12-42-42: New best reward -5.7 (-9.5%) at episode 14, saving model...
11-15 12-42-42: New best reward -5.1 (-10.5%) at episode 89, saving model...
11-15 12-42-43: New best reward -4.5 (-11.8%) at episode 122, saving model...
11-15 12-42-43: New best reward -2.7 (-40.0%) at episode 175, saving model...
11-15 12-42-45: New best reward -0.9 (-66.7%) at episode 561, saving model...
11-15 12-42-45: New best reward 0.3 (-133.3%) at episode 650, saving model...
11-15 12-42-58: New best reward 1.5 (+400.0%) at episode 3078, saving model...
11-15 12-43-00: New best reward 3.9 (+160.0%) at episode 3391, saving model...
11-15 12-43-37: New best reward 4.1 (+5.1%) at episode 9486, saving model...
11-15 12-43-47: New best reward 4.6 (+12.2%) at episode 11047, saving model...
11-15 12-43-57: New best reward 4.8 (+4.3%) at episode 12483, saving model...
11-15 12-44-06: New best reward 4.9 (+2.1%) at episode 13755, saving model...
11-15 12-44-11: New best reward 6.1 (+24.5%) at episode 14471, saving model...
11-15 12-44-20: New best reward 6.6 (+8.2%) at episode 15757, saving model...
11-15 12-44-22: New best reward 8.4 (+27.3%) at episode 16050, saving model...
11-15 12-44-57: New best reward 8.9 (+6.0%) at episode 20952, saving model...
11-15 12-45-43: New best reward 9.0 (+1.1%) at episode 26985, saving model...
11-15 12-45-53: New best reward 9.3 (+3.3%) at episode 28360, saving model...
11-15 12-46-01: New best reward 10.8 (+16.1%) at episode 29351, saving model...
11-15 12-59-45: New best reward 10.9 (+0.9%) at episode 119207, saving model...
11-15 12-59-55: New best reward 12.9 (+18.3%) at episode 120147, saving model...
11-15 13-00-10: New best reward 22.4 (+73.6%) at episode 121628, saving model...
11-15 13-02-46: New best reward 22.6 (+0.9%) at episode 135010, saving model...
11-15 13-03-18: New best reward 31.9 (+41.2%) at episode 137563, saving model...
11-15 13-05-18: New best reward 36.4 (+14.1%) at episode 146766, saving model...
11-15 13-07-52: New best reward 38.8 (+6.6%) at episode 158512, saving model...
11-15 13-08-59: New best reward 40.9 (+5.4%) at episode 163198, saving model...
11-15 13-09-10: New best reward 48.8 (+19.3%) at episode 163980, saving model...
11-15 13-22-07: New best reward 50.4 (+3.3%) at episode 214552, saving model...
11-15 13-22-18: New best reward 57.2 (+13.5%) at episode 215234, saving model...
11-15 13-53-30: New best reward 57.4 (+0.3%) at episode 315599, saving model...
11-15 13-53-51: New best reward 57.7 (+0.5%) at episode 316694, saving model...
11-15 13-59-20: New best reward 59.9 (+3.8%) at episode 332663, saving model...
11-15 14-02-25: New best reward 62.1 (+3.7%) at episode 341636, saving model...
11-15 14-10-01: New best reward 64.4 (+3.7%) at episode 362081, saving model...
11-15 14-23-04: New best reward 68.9 (+7.0%) at episode 395497, saving model...
11-15 14-51-44: New best reward 69.3 (+0.6%) at episode 461189, saving model...
11-15 16-00-11: New best reward 78.4 (+13.1%) at episode 575157, saving model...
11-15 19-06-05: New best reward 80.6 (+2.8%) at episode 734861, saving model...
11-15 19-11-16: New best reward 82.9 (+2.9%) at episode 737830, saving model...
