11-15 12-42-50: Training starting...
11-15 12-42-51: New best reward -8.1 (-100.0%) at episode 0, saving model...
11-15 12-42-51: New best reward -6.9 (-14.8%) at episode 2, saving model...
11-15 12-42-51: New best reward -3.9 (-43.5%) at episode 10, saving model...
11-15 12-42-52: New best reward -2.1 (-46.2%) at episode 264, saving model...
11-15 12-42-53: New best reward -0.3 (-85.7%) at episode 476, saving model...
11-15 12-42-54: New best reward 3.9 (-1400.0%) at episode 646, saving model...
11-15 12-43-35: New best reward 4.6 (+17.9%) at episode 7908, saving model...
11-15 12-43-52: New best reward 4.8 (+4.3%) at episode 10486, saving model...
11-15 12-44-04: New best reward 7.8 (+62.5%) at episode 12228, saving model...
11-15 12-44-41: New best reward 8.4 (+7.7%) at episode 17640, saving model...
11-15 12-45-24: New best reward 8.6 (+2.4%) at episode 23624, saving model...
11-15 12-45-41: New best reward 11.1 (+29.1%) at episode 25818, saving model...
11-15 13-07-30: New best reward 12.9 (+16.2%) at episode 164295, saving model...
11-15 13-08-55: New best reward 20.6 (+59.7%) at episode 171351, saving model...
11-15 13-09-15: New best reward 22.4 (+8.7%) at episode 172983, saving model...
11-15 13-09-57: New best reward 26.9 (+20.1%) at episode 176264, saving model...
11-15 13-13-14: New best reward 27.6 (+2.6%) at episode 190816, saving model...
11-15 13-14-39: New best reward 27.8 (+0.7%) at episode 196840, saving model...
11-15 13-14-41: New best reward 31.9 (+14.7%) at episode 196990, saving model...
11-15 13-16-01: New best reward 32.1 (+0.6%) at episode 202297, saving model...
11-15 13-16-35: New best reward 34.4 (+7.2%) at episode 204329, saving model...
11-15 13-17-27: New best reward 40.9 (+18.9%) at episode 207696, saving model...
11-15 13-18-56: New best reward 51.6 (+26.2%) at episode 213078, saving model...
11-15 13-26-15: New best reward 54.9 (+6.4%) at episode 238076, saving model...
11-15 13-26-16: New best reward 56.0 (+2.0%) at episode 238104, saving model...
11-15 13-47-59: New best reward 57.6 (+2.9%) at episode 305224, saving model...
11-15 13-49-40: New best reward 62.5 (+8.5%) at episode 310180, saving model...
11-15 14-06-44: New best reward 68.9 (+10.2%) at episode 358645, saving model...
11-15 14-27-05: New best reward 92.4 (+34.1%) at episode 408996, saving model...
