11-15 12-41-29: Training starting...
11-15 12-41-30: New best reward -5.7 (-100.0%) at episode 0, saving model...
11-15 12-41-30: New best reward -1.5 (-73.7%) at episode 5, saving model...
11-15 12-41-34: New best reward -0.9 (-40.0%) at episode 645, saving model...
11-15 12-41-37: New best reward 3.9 (-533.3%) at episode 1103, saving model...
11-15 12-42-24: New best reward 4.2 (+7.7%) at episode 6258, saving model...
11-15 12-43-10: New best reward 4.6 (+9.5%) at episode 9969, saving model...
11-15 12-43-24: New best reward 4.9 (+6.5%) at episode 10984, saving model...
11-15 12-43-47: New best reward 6.0 (+22.4%) at episode 12543, saving model...
11-15 12-44-14: New best reward 6.8 (+13.3%) at episode 14252, saving model...
11-15 12-44-54: New best reward 8.4 (+23.5%) at episode 16768, saving model...
11-15 12-51-54: New best reward 9.5 (+13.1%) at episode 39467, saving model...
11-15 12-54-47: New best reward 10.8 (+13.7%) at episode 47606, saving model...
11-15 13-08-59: New best reward 12.9 (+19.4%) at episode 86346, saving model...
11-15 13-11-31: New best reward 15.0 (+16.3%) at episode 92800, saving model...
11-15 13-11-34: New best reward 17.9 (+19.3%) at episode 92894, saving model...
11-15 13-12-55: New best reward 19.0 (+6.1%) at episode 96135, saving model...
11-15 13-14-00: New best reward 22.4 (+17.9%) at episode 98722, saving model...
11-15 13-14-13: New best reward 26.9 (+20.1%) at episode 99181, saving model...
11-15 13-14-20: New best reward 27.2 (+1.1%) at episode 99489, saving model...
11-15 13-14-47: New best reward 27.6 (+1.5%) at episode 100526, saving model...
11-15 13-15-41: New best reward 31.9 (+15.6%) at episode 102597, saving model...
11-15 13-17-11: New best reward 32.3 (+1.3%) at episode 105907, saving model...
11-15 13-18-45: New best reward 36.4 (+12.7%) at episode 109326, saving model...
11-15 13-21-25: New best reward 45.9 (+26.1%) at episode 115071, saving model...
11-15 13-26-21: New best reward 50.4 (+9.8%) at episode 125048, saving model...
11-15 13-28-02: New best reward 53.1 (+5.4%) at episode 128373, saving model...
11-15 13-41-28: New best reward 57.7 (+8.7%) at episode 151906, saving model...
11-15 13-42-40: New best reward 68.9 (+19.4%) at episode 153878, saving model...
11-15 13-48-27: New best reward 78.4 (+13.8%) at episode 163481, saving model...
11-15 14-03-21: New best reward 85.1 (+8.5%) at episode 186589, saving model...
11-15 14-53-05: New best reward 100.1 (+17.6%) at episode 255603, saving model...
